"tf","fam","target","dna_binding.conservation","dna_binding.dapSeq","coDiffExp_0PF","coDiffExp_P0F","coDiffExp_0P0F","coDiffExp","p.rf","rank","mode_of_regulation"
"AT1G77200","AP2/ERF-ERF","AT1G20330",0,1,0,0,0,0,0.960003690547585,1.96000369054758,"activation"
"AT5G54230","MYB","AT5G07400",0,1,0,0,0,0,0.959856907405,1.959856907405,"repression"
"AT5G54230","MYB","AT5G44650",0,1,0,0,0,0,0.959718511870562,1.95971851187056,"repression"
"AT5G54230","MYB","AT1G36060",0,1,0,0,0,0,0.959622054376864,1.95962205437686,"repression"
"AT1G77200","AP2/ERF-ERF","AT5G57590",0,1,0,0,0,0,0.959588503944273,1.95958850394427,"activation"
"AT1G77200","AP2/ERF-ERF","AT1G61780",0,1,0,0,0,0,0.959471077430205,1.9594710774302,"repression"
"AT1G77200","AP2/ERF-ERF","AT4G28050",0,1,0,0,0,0,0.959454302213909,1.95945430221391,"activation"
"AT1G77200","AP2/ERF-ERF","AT2G40950",0,1,0,0,0,0,0.959198480165404,1.9591984801654,"activation"
"AT3G16280","AP2/ERF-ERF","AT4G26130",0,1,0,0,0,0,0.95917331734096,1.95917331734096,"repression"
"AT1G77200","AP2/ERF-ERF","AT5G49530",0,1,0,0,0,0,0.959051697022818,1.95905169702282,"activation"
"AT5G54230","MYB","AT3G01310",0,1,0,0,0,0,0.95900975898208,1.95900975898208,"activation"
"AT3G16280","AP2/ERF-ERF","AT3G05220",0,1,0,0,0,0,0.958871363447642,1.95887136344764,"activation"
"AT3G16280","AP2/ERF-ERF","AT5G50480",0,1,0,0,0,0,0.958779099758017,1.95877909975802,"repression"
"AT1G77200","AP2/ERF-ERF","AT5G04290",0,1,0,0,0,0,0.9587497431295,1.9587497431295,"activation"
"AT1G77200","AP2/ERF-ERF","AT2G21800",0,1,0,0,0,0,0.958607153790989,1.95860715379099,"activation"
"AT1G77200","AP2/ERF-ERF","AT1G75710",0,1,0,0,0,0,0.958590378574694,1.95859037857469,"activation"
"AT3G16280","AP2/ERF-ERF","AT2G43840",0,1,0,0,0,0,0.958498114885069,1.95849811488507,"activation"
"AT1G77200","AP2/ERF-ERF","AT4G02380",0,1,0,0,0,0,0.95845617684433,1.95845617684433,"repression"
